ID,X_MIN,X_MAX,Y_MIN,Y_MAX,date_lidar,hdom,cv_100,cv_tot,qual,larg_buff,date_maj,hdom_maj,si
121,243663.727271000010660,243763.727271000010660,53207.006024000002071,53307.006024000002071,2014/01/01,24.9,16.6,28.6,100,-0.0,,,
122,243763.727271000010660,243863.727271000010660,53207.006024000002071,53307.006024000002071,2014/01/01,10.6,-1.0,-1.0,50,-0.0,,,
127,244263.727271000010660,244363.727271000010660,53207.006024000002071,53307.006024000002071,2014/01/01,16.0,44.4,51.9,100,-0.0,,,
128,244363.727271000010660,244463.727271000010660,53207.006024000002071,53307.006024000002071,2014/01/01,22.2,24.2,25.4,94,-0.0,,,
129,244463.727271000010660,244563.727271000010660,53207.006024000002071,53307.006024000002071,2014/01/01,23.4,11.9,15.2,100,-0.0,,,
130,244563.727271000010660,244663.727271000010660,53207.006024000002071,53307.006024000002071,2014/01/01,23.1,10.2,9.8,100,-0.0,,,
273,243563.727271000010660,243663.727271000010660,53107.006024000002071,53207.006024000002071,2014/01/01,20.1,29.3,34.3,100,-0.0,,,
274,243663.727271000010660,243763.727271000010660,53107.006024000002071,53207.006024000002071,2014/01/01,23.6,18.8,31.7,100,-0.0,,,
275,243763.727271000010660,243863.727271000010660,53107.006024000002071,53207.006024000002071,2014/01/01,27.7,4.3,30.8,100,-0.0,,,
276,243863.727271000010660,243963.727271000010660,53107.006024000002071,53207.006024000002071,2014/01/01,23.6,18.8,29.6,100,-0.0,,,
277,243963.727271000010660,244063.727271000010660,53107.006024000002071,53207.006024000002071,2014/01/01,25.9,8.2,24.4,100,-0.0,,,
278,244063.727271000010660,244163.727271000010660,53107.006024000002071,53207.006024000002071,2014/01/01,24.6,18.3,34.0,100,-0.0,,,
279,244163.727271000010660,244263.727271000010660,53107.006024000002071,53207.006024000002071,2014/01/01,24.8,14.5,27.4,100,-0.0,,,
280,244263.727271000010660,244363.727271000010660,53107.006024000002071,53207.006024000002071,2014/01/01,25.6,10.1,25.0,100,-0.0,,,
281,244363.727271000010660,244463.727271000010660,53107.006024000002071,53207.006024000002071,2014/01/01,24.1,12.8,22.2,100,-0.0,,,
282,244463.727271000010660,244563.727271000010660,53107.006024000002071,53207.006024000002071,2014/01/01,26.0,9.5,19.2,100,-0.0,,,
283,244563.727271000010660,244663.727271000010660,53107.006024000002071,53207.006024000002071,2014/01/01,23.0,9.5,20.2,100,-0.0,,,
284,244663.727271000010660,244763.727271000010660,53107.006024000002071,53207.006024000002071,2014/01/01,23.4,14.0,22.9,100,-0.0,,,
285,244763.727271000010660,244863.727271000010660,53107.006024000002071,53207.006024000002071,2014/01/01,28.3,2.1,12.0,100,-0.0,,,
424,243363.727271000010660,243463.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,21.9,19.5,20.5,42,-0.0,,,
425,243463.727271000010660,243563.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,17.6,33.9,36.0,97,-0.0,,,
426,243563.727271000010660,243663.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,22.6,21.8,35.2,100,-0.0,,,
427,243663.727271000010660,243763.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,24.1,8.0,24.1,100,-0.0,,,
428,243763.727271000010660,243863.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,24.2,11.9,23.2,100,-0.0,,,
429,243863.727271000010660,243963.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,21.1,21.2,36.3,100,-0.0,,,
430,243963.727271000010660,244063.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,24.0,20.5,36.8,100,-0.0,,,
431,244063.727271000010660,244163.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,25.0,14.7,24.2,100,-0.0,,,
432,244163.727271000010660,244263.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,25.0,13.8,19.8,100,-0.0,,,
433,244263.727271000010660,244363.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,24.8,15.4,21.0,100,-0.0,,,
434,244363.727271000010660,244463.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,23.5,13.6,20.3,100,-0.0,,,
435,244463.727271000010660,244563.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,24.1,12.2,26.9,100,-0.0,,,
436,244563.727271000010660,244663.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,26.8,5.6,13.6,100,-0.0,,,
437,244663.727271000010660,244763.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,24.7,17.8,29.0,100,-0.0,,,
438,244763.727271000010660,244863.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,27.4,8.4,19.6,100,-0.0,,,
439,244863.727271000010660,244963.727271000010660,53007.006024000002071,53107.006024000002071,2014/01/01,24.3,9.4,24.1,100,-0.0,,,
440,244963.727271000010660,245063.727271000010660,53007.006024000002071,53107.006024000002071,,,,,,-0.0,,,
575,243163.727271000010660,243263.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,26.6,16.1,40.6,100,-0.0,,,
576,243263.727271000010660,243363.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,25.0,5.6,16.4,100,-0.0,,,
577,243363.727271000010660,243463.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,26.2,5.5,21.0,100,-0.0,,,
578,243463.727271000010660,243563.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,27.4,8.6,18.5,100,-0.0,,,
579,243563.727271000010660,243663.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,24.8,6.8,20.3,100,-0.0,,,
580,243663.727271000010660,243763.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,22.9,11.8,26.0,100,-0.0,,,
581,243763.727271000010660,243863.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,24.0,6.7,32.2,100,-0.0,,,
582,243863.727271000010660,243963.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,25.0,8.0,19.8,100,-0.0,,,
583,243963.727271000010660,244063.727271000010660,52907.006024000002071,53007.006024000002071,2014/01/01,18.9,45.7,48.4,98,-0.0,,,
